,actor,director,like_people,release_date,title
0,演员：郑云 梁小龙,导演：郑云,42227人想看,2020-03-31 周二,站住！小偷
1,演员：田志斌 于苏桐,导演：康与江,4934人想看,2020-04-03 周五,今生只为遇见你
2,演员：吴大可 朱梓瑜,导演：李路,16253人想看,2020-04-04 周六,北平会馆
3,演员：詹姆斯·卡梅隆 施万克,导演：罗飞,8659人想看,2020-04-04 周六,六人-泰坦尼克上的中国幸存者
4,,导演：代长浩,4618人想看,2020-04-04 周六,小公主艾薇拉与神秘王国2
5,演员：卢瑶 张洋,导演：陈设,4646人想看,2020-04-11 周六,奇妙王国之魔法奇缘
6,演员：吴琼 阳蕾,导演：吴琼,825人想看,2020-04-15 周三,愤怒的心
7,演员：大汪 孙小妞,导演：谢立文,25978人想看,2020-04-25 周六,麦兜·饭宝奇兵
8,演员：包贝尔 克拉拉,导演：李克龙,27856人想看,2020-04-30 周四,大红包
9,演员：瑞迪玛·潘迪特 王学兵,导演：张建亚,9223人想看,2020-05-01 周五,印度奇游
10,演员：Laura Megan Stahl 迈克尔·约翰斯顿,导演：乔根·克卢宾,8825人想看,2020-05-01 周五,魔法学院
11,演员：释小龙 胡军,导演：彭发,13569人想看,2020-05-08 周五,金禅降魔
12,演员：扈天翼 黄心娣,导演：袁杰,2286人想看,2020-05-15 周五,82号古宅
13,演员：赵鸿飞 雷牧,导演：吕振武,484人想看,2020-05-15 周五,恋上美人鱼
14,演员：朱仲春 尹航,导演：杨惠龙,288人想看,2020-05-22 周五,沉香
15,演员：马良博一 卢小路,导演：马雍,285人想看,2020-05-28 周四,亲亲哒
16,演员：尹亚森 曾晨,导演：马建军,693人想看,2020-06-19 周五,错爱迷踪
